id0,id1,id2,path,TR,task_path_G
SBJe1v0ws4,,,SBJe1v0ws4_bold.npy,0.72,task_info_SBJe1v0ws4.csv
SBJe2v0ws4,,,SBJe2v0ws4_bold.npy,1.44,task_info_SBJe2v0ws4.csv
SBJe3v0ws4,,,SBJe3v0ws4_bold.npy,2.16,task_info_SBJe3v0ws4.csv
